,Ctyname,Stname,STCODE,CTYCODE,Cases2000,Cases2001,Cases2002,Cases2003,Cases2004,Cases2005,Cases2006,Cases2007,Cases2008,Cases2009,Cases2010,Cases2011,Cases2012,Cases2013,Cases2014,Cases2015,Cases2016,Cases2017,GEO_ID,STATE,COUNTY,NAME,LSAD,CENSUSAREA,geometry,long_lat,NEWNAME,deer_density,deer_row,deer_dist
0,Autauga County,Alabama,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0500000US01001,1.0,1.0,Autauga,County,594.436,"POLYGON ((-86.496774 32.344437, -86.71789699999999 32.402814, -86.81491199999999 32.340803, -86.890581 32.502974, -86.91759499999999 32.664169, -86.71338999999999 32.661732, -86.714219 32.705694, -86.413116 32.707386, -86.41117199999999 32.409937, -86.496774 32.344437))","(-86.64119616803882, 32.53615292143654)",Autauga County,10,269,0
1,Baldwin County,Alabama,1,3,1,0,1,0,0,0,0,0,0,1,0,1,1,0,3,1,2,2,0500000US01003,1.0,3.0,Baldwin,County,1589.784,"POLYGON ((-87.59892742265589 30.9974544684113, -87.594111 30.976335, -87.601355 30.936294, -87.622203 30.897508, -87.63493799999999 30.865886, -87.62413699999999 30.845713, -87.532607 30.743489, -87.502926 30.722369, -87.49751499999999 30.720123, -87.48122499999999 30.716508, -87.44936199999999 30.698913, -87.407118 30.671796, -87.396997 30.65364, -87.39421899999999 30.641699, -87.39447899999999 30.625192, -87.44992099999999 30.51469, -87.44984099999999 30.514369, -87.44833199999999 30.513063, -87.430578 30.491096, -87.41917699999999 30.410198, -87.42747799999999 30.408398, -87.44067799999999 30.391498, -87.45137799999999 30.367199, -87.45096199999999 30.346262, -87.45007799999999 30.3111, -87.452378 30.300201, -87.51832399999999 30.280435, -87.544533 30.275659, -87.55809699999999 30.274437, -87.581362 30.269257, -87.656888 30.249709, -87.73553 30.240679, -87.80055999999999 30.229365, -87.83846199999999 30.227185, -87.926119 30.230373, -87.96225299999999 30.229522, -87.999996 30.225753, -88.014572 30.222366, -88.028401 30.221132, -88.02927199999999 30.222714, -88.023991 30.23039, -87.966847 30.235618, -87.94897899999999 30.256564, -87.936041 30.261469, -87.91824699999999 30.253308, -87.91376199999999 30.247837, -87.90046 30.241531, -87.89320099999999 30.239237, -87.87934299999999 30.23859, -87.860085 30.240289, -87.81774299999999 30.254292, -87.802087 30.253054, -87.78775 30.254244, -87.766626 30.262353, -87.755263 30.277292, -87.755516 30.291217, -87.772758 30.311701, -87.796717 30.324198, -87.80926599999999 30.332702, -87.82988 30.353809, -87.837239 30.369324, -87.84513199999999 30.377446, -87.85380599999999 30.378481, -87.86501699999999 30.38345, -87.90634299999999 30.40938, -87.908908 30.41424, -87.914136 30.446144, -87.92003099999999 30.470645, -87.924211 30.4761, -87.93190199999999 30.4811, -87.93335499999999 30.487357, -87.911141 30.525848, -87.905343 30.537566, -87.90171099999999 30.550879, -87.904168 30.565985, -87.90789099999999 30.573114, -87.91143099999999 30.576261, -87.91495599999999 30.585893, -87.91252999999999 30.615795, -87.91934599999999 30.63606, -87.93106999999999 30.652694, -87.936717 30.657432, -87.955989 30.658862, -87.981196 30.67509, -88.00839599999999 30.684956, -88.026319 30.753358, -87.944546 30.827046, -87.98126099999999 30.886895, -87.941152 31.048161, -87.972869 31.162694, -87.943748 31.161341, -87.94658799999999 31.19293, -87.91363699999999 31.187356, -87.765152 31.297346, -87.61588999999999 31.244458, -87.615431 30.997361, -87.59892742265589 30.9974544684113))","(-87.72395376435523, 30.72586230214553)",Baldwin County,10,221,0
2,Barbour County,Alabama,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0500000US01005,1.0,5.0,Barbour,County,884.876,"POLYGON ((-85.056029 32.063055, -85.050212 32.024196, -85.06224595137789 31.991857, -85.07232999999999 31.964758, -85.08212999999999 31.944658, -85.10663 31.915159, -85.132931 31.88826, -85.141831 31.839861, -85.14133099999999 31.783163, -85.1386683721049 31.7804250147116, -85.130731 31.772263, -85.12523 31.767063, -85.1245007145954 31.7630809859312, -85.216076 31.702409, -85.416038 31.706664, -85.416437 31.619466, -85.748251 31.618048, -85.66623 31.772877, -85.657668 31.880275, -85.587344 31.997355, -85.42847599999999 32.014951, -85.410241 32.146651, -85.25774699999999 32.148251, -85.18506699999999 32.061708, -85.056029 32.063055))","(-85.38924516349718, 31.867888652451764)",Barbour County,50,185,0
3,Bibb County,Alabama,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0500000US01007,1.0,7.0,Bibb,County,622.582,"POLYGON ((-87.4212 32.874508, -87.420132 32.902605, -87.421936 33.003379, -87.318539 33.006179, -87.28194499999999 33.13306, -87.19931699999999 33.130657, -87.199153 33.196554, -87.065738 33.246907, -87.02684599999999 33.246459, -87.02559599999999 33.165795, -86.881182 33.049901, -86.87611799999999 32.836264, -87.01915699999999 32.837034, -87.31918399999999 32.831522, -87.319473 32.875124, -87.4212 32.874508))","(-87.1249629751977, 32.99645628592119)",Bibb County,1,164,0
4,Blount County,Alabama,1,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0500000US01009,1.0,9.0,Blount,County,644.776,"POLYGON ((-86.577799 33.765316, -86.75914399999999 33.840617, -86.95366399999999 33.815297, -86.95430499999999 33.844862, -86.96296 33.844865, -86.963358 33.858221, -86.924387 33.909222, -86.793914 33.952059, -86.68536499999999 34.05914, -86.692061 34.092654, -86.599632 34.119914, -86.514881 34.25437, -86.45302 34.259317, -86.303516 34.099073, -86.332723 33.986109, -86.37015199999999 33.93977, -86.325622 33.940147, -86.377532 33.861706, -86.577528 33.801977, -86.577799 33.765316))","(-86.56975624844864, 33.98524765933216)",Blount County,10,149,0
5,Bullock County,Alabama,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0500000US01011,1.0,11.0,Bullock,County,622.805,"POLYGON ((-85.410241 32.146651, -85.42847599999999 32.014951, -85.587344 31.997355, -85.657668 31.880275, -85.79104699999999 31.880357, -85.790048 31.967254, -85.88435 31.967253, -85.893652 32.047351, -85.996853 32.051049, -85.999157 32.250543, -85.919293 32.274382, -85.856218 32.231975, -85.433543 32.234648, -85.427442 32.146551, -85.410241 32.146651))","(-85.7112089979835, 32.09815194538011)",Bullock County,50,183,0
6,Butler County,Alabama,1,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0500000US01013,1.0,13.0,Butler,County,776.829,"POLYGON ((-86.701554 31.523946, -86.83938599999999 31.525204, -86.906769 31.632671, -86.90589899999999 31.753035, -86.906899 31.830628, -86.90893899999999 31.961673, -86.85758299999999 31.962167, -86.44819799999999 31.964629, -86.448635 31.655617, -86.499533 31.655247, -86.499213 31.525331, -86.69021699999999 31.523693, -86.701554 31.523946))","(-86.68058318622566, 31.752936285017636)",Butler County,50,189,0
7,Calhoun County,Alabama,1,15,0,0,0,0,0,0,0,1,0,0,0,2,1,3,2,0,1,0,0500000US01015,1.0,15.0,Calhoun,County,605.868,"POLYGON ((-86.145562 33.679098, -86.043993 33.763595, -86.06697199999999 33.839198, -86.066439 33.841094, -86.06527199999999 33.842198, -86.049072 33.841598, -86.048772 33.852698, -86.021271 33.851498, -86.02147099999999 33.866098, -85.99516899999999 33.864897, -85.99497 33.879598, -85.98636999999999 33.879198, -85.98647 33.893698, -85.96916999999999 33.892898, -85.96916999999999 33.914598, -85.738975 33.96846, -85.529432 33.95598, -85.53009399999999 33.941423, -85.532482 33.889152, -85.638049 33.773339, -85.63857899999999 33.648413, -85.796054 33.55622, -85.79455899999999 33.585565, -85.994935 33.586475, -86.050669 33.67459, -86.145562 33.679098))","(-85.81892788371414, 33.77618973542811)",Calhoun County,10,154,0
8,Chambers County,Alabama,1,17,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0500000US01017,1.0,17.0,Chambers,County,596.531,"POLYGON ((-85.18413099999999 32.870525, -85.12342099999999 32.772248, -85.13203994599749 32.76421112339359, -85.1367764204991 32.7465116851151, -85.285043 32.730731, -85.59315099999999 32.72853, -85.593177 33.10734, -85.232378 33.108077, -85.22326099999999 33.06258, -85.221868 33.055538, -85.18413099999999 32.870525))","(-85.38992377589648, 32.9115937112799)",Chambers County,10,166,0
9,Cherokee County,Alabama,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0500000US01019,1.0,19.0,Cherokee,County,553.7,"POLYGON ((-85.512108 34.518252, -85.50838399999999 34.501212, -85.502454 34.474527, -85.50231599999999 34.473954, -85.46230377918801 34.2863653572245, -85.458693 34.269437, -85.45807099999999 34.265736, -85.455371 34.252854, -85.455057 34.250689, -85.42173062983569 34.080820543325, -85.398837 33.964129, -85.53009399999999 33.941423, -85.529432 33.95598, -85.738975 33.96846, -85.84361699999999 34.200006, -85.636645 34.366622, -85.57698099999999 34.483543, -85.51369909907061 34.5241334018111, -85.512108 34.518252))","(-85.59996072124798, 34.17497972954543)",Cherokee County,10,145,0
